Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
shell india markets private limited,associate data scientist - retail,['chennai'],3,7,data science,multivariate analysis,factor analysis,marketing mix modeling,natural language processing,reinforcement learning,neural networks,market basket analysis
pfizer limited,managerclinical data scientist,['chennai'],5,9,biometrics,data management,query management,research,monitoring,clinical data,,
ve commercial vehicles limited,data scientist / python developer- analytics solutions- volvo trucks,['bangalore'],1,2,algorithms,python,cloud deployment,nginx,python django,data management,data analysis,data representation
sutherland global services inc,data scientist,['chennai'],8,13,cloud computing,image processing,talent acquisition,data collection,signal processing,data mining,data analysis,sql
randstad,females required- data scientist- noida,"['noida', 'delhi', 'gurgaon']",3,7,r,algorithms,artificial intelligence,big data,sql,tableau,spss,data analysis
witzeal technologies private limited,data scientist / data analyst – mobile gaming industry,['gurgaon'],4,7,google analytics,etl tools,big data,hypothesis testing,machine learning,statistics,mixpanel,sql
reliance jio infocomm ltd.,data scientist,['mumbai'],5,9,report generation,data analysis,data management,machine learning,data structures,business modeling,mobile applications,data mining
info origin technologies pvt ltd,data scientist,"['bangalore', 'pune', 'gondiya']",2,7,artificial intelligence,machine learning,data science,big data,digital signal processing,matlab,statistics,mathmatica
spectrum talent management pvt. ltd,sr. data scientist,['bangalore'],3,8,tkinter,matplotlib,spacy,tensor low,css,opencv,nosql,scikit learn
kie square analytics,data scientist,['delhi'],4,8,sql,data science,data analysis,machine learning,statistics,python,it skills,artificial intelligence
efftronics systems pvt. ltd.,data scientist,['mangalagiri'],5,10,computer science,data analysis,c++,statistics,data collection,agile,machine learning,data mining
walmart labs,principal data scientist (marketpalce),['bangalore'],10,15,computer science,data science,coding,machine learning,scala,e-commerce,stakeholder management,data analysis
execboardinasia,data scientist - business analytics,['bangalore'],5,10,process automation,cloud computing,change management,operational excellence,business analysis,data analysis,consulting,machine learning
pluto seven business solutions (p) limited,job opening for the position data scientist,['bangalore'],2,6,python,data analysis,machine learning,java,big data,data structures,data warehousing,business intelligence
