Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
vcreatek llc,data visualisation engineer,"['mumbai', 'thane', 'pune']",4,8,it skills,python,testing,cloud,project management,aws,tableau,supply chain
colgate palmolive,data engineer i / data engineer ii,['mumbai'],4,6,etl development,sap,data engineer,data warehousing,tableau,machine learning,machine learning,data analysis
adviserlogic,associate data engineer,['mumbai'],1,3,unix,computer science,linux,fixed income,mutual funds,shell scripting,consulting,machine learning
fedex,data architect,"['mumbai', 'chennai', 'bangalore']",10,14,java,data,data management,architect,hadoop,big data,sql,microsoft azure
change leaders consulting,azure data engineer / lead / architect - adb +adf,"['mumbai', 'bangalore', 'pune', 'chennai', 'hyderabad']",4,9,azure databricks,azure data factory,azure data engineer,pyspark,blob,bigdata,synapse,sql
accenture solutions pvt ltd,team lead/consultant-data science,['mumbai'],7,11,publishing,data science,data management,architecture,artificial intelligence,business economics,machine learning,consulting
wono inc,data analyst,"['mumbai', 'delhi', 'bangalore']",1,5,data integrity,data analysis,metadata,data cleansing,data mining,production systems,dashboards,data warehousing
change leaders consulting,azure data engineer / lead / architect - adb +adf,"['mumbai', 'bangalore', 'pune', 'chennai', 'hyderabad']",4,9,azure databricks,azure data factory,azure data engineer,pyspark,blob,bigdata,synapse,sql
colgate palmolive,digital data & identity - business process architect,['mumbai'],2,7,big query,data fusion,data prep,sap marketing cloud,data analysis,microsoft excel,data studio,dmp
wono inc,data analyst,"['mumbai', 'delhi', 'bangalore']",1,5,data integrity,data analysis,metadata,data cleansing,data mining,production systems,dashboards,data warehousing
m&g plc,lead data engineer data lab,['mumbai'],2,5,machine learning,agile,data structures,scrum,customer service,information technology,financial services,sql
tata industries limited-tata insights and quants divison,data management and data visualisation,"['mumbai', 'jamshedpur', 'bangalore']",10,12,automation,data management,web analytics,machine learning,consulting,javascript,html,rfp
edubridge learning pvt ltd,master trainer data analytics,['mumbai'],2,7,sas,artificial intelligence,data analysis,mongodb,microsoft excel,data analysis,r programing,machine learning
citius it solutions pvt ltd,technical lead-data modeler,"['mumbai', 'bangalore']",5,9,machine learning,mysql,agile,technical lead,scrum,oracle,business intelligence,data analysis
accenture solutions pvt ltd,india market unit - data science manager - (career level 07),['mumbai'],7,11,python,it skills,data science,networking,consulting,manager technology,business modeling,professional services
codifyd,data engineer,['mumbai'],10,15,it skills,python,cloud,tableau,airflow,data engineering,azure databricks,sql
skillmine technology consulting pvt. ltd.,azure senior data engineer,['mumbai'],7,12,it skills,python,cloud,dba,microsoft azure,azure data factory,,
accenture solutions pvt ltd,informatica big data edition application developer,['mumbai'],4,6,business process,sql,machine learning,data analysis,consulting,scheduling,informatica,stored procedures
crescendo global leadership hiring india private l imited,"data engineer azure (azure sql, azure data lake, synapse, databricks)",['mumbai'],9,12,azure data factory,senior level,data engineering,power bi,data structures,azure data lake,sql azure,machine learning
accenture solutions pvt ltd,talend big data application developer,['mumbai'],4,6,data analysis,datastage,etldiyotta,bigdata,informatica,sql,talend big data,hive
nice ltd,specialist aws data analyst,['pune'],7,10,it skills,data science,machine learning,big data,aws,computer science,automation,linux
execboardinasia,data science platform engineer,['pune'],5,10,service management,data science,machine learning,deployment,data analysis,management,continuous improvement,operations
winvest technology consultancy services pvt ltd,big data architect,"['mumbai', 'bangalore', 'hyderabad']",8,12,it skills,python,big data,aws,scala,sql,,
peak,senior data architect,"['jaipur', 'pune']",7,12,web services,machine learning,spark,machine learning,agile,data processing,data structures,apache
larsen & toubro infotech limited,chief architect data sciences,['pune'],15,18,nosql,pdf,data science,chief architect,r,machine learning,model development,forecasting
ideadunes,technical trainee - data science/ machine learning,['pune'],2,6,data science,artificial intelligence,tensorflow,communication skills,machine learning,numpy,keras,matplotlib
samagra utilities,data analyst - samagra,['pune'],2,5,service delivery,data analysis,statistical modeling,financial inclusion,data collection,data analyst,software solutions,monitoring
brainbees solutions private limited,data analyst,['pune'],3,5,machine learning,sql,python,data analysis,data mining,data cleansing,machine learning,
skyleaf consultants,data center engineer,"['mumbai', 'bangalore', 'chennai', 'noida', 'pan india', 'delhi', 'new delhi', 'hyderabad']",7,12,powershell,wan,lan,hp,data center,blade glass machines,,
6sense,core data analyst,['pune'],1,3,microsoft excel,data management,machine learning,marketing operations,data analyst,machine learning,data quality,internship
briq,data analyst,['pune'],1,3,automation,diagnostics,data management,data science,artificial intelligence,machine learning,data analyst,troubleshooting
finaxar pte. ltd.,data analyst,['pune'],3,6,data science,cash flow managementing,risk modeling,machine learning,deployment,data analyst,working capital finance,monitoring
integral ad science,staff big data engineer (data science/ml),['pune'],2,5,vista,data analysis,data science,machine learning,schema,data structures,apache,data analysis
fps innovation labs private limited,data architect,"['chennai', 'pune']",8,12,data science,sql,machine learning,data architecture,data warehousing,postgres,etl,data analysis
unbound marketing private limited,data research analyst,['pune'],1,3,online research,outbound,typing speed,microsoft excel,data analysis,database,budgeting,crm
prime power corp,data analyst/ mis executive,['pune'],2,5,data analyst,microsoft excel,mis executive,mis preparation,data integrity,data cleansing,data mining,master data
avaloq india private limited,asset/pricing data analyst,['pune'],2,4,otc derivatives,finance,banking,mtm,bloomberg,derivatives,master data,structured products
apex fund services llp,data analyst - power bi & alteryx,['pune'],5,10,alteryx designer,power bi,ssrs,alteryx,tableau,ssis,sql,alteryx server
cleverex technology private limited,data warehouse test analyst,['pune'],2,4,data analysis,data warehouse testing,database testing,sql,etl,,,
nihilent technologies pvt. ltd.,azure data analys,"['chennai', 'kolkata', 'pune']",5,10,machine learning,xml,javascript,packaging,programming,power bi,statistics,sql
focus management consultants pvt ltd.,data engineer,['pune'],3,7,data enginer,data analysis,microsoft azure,it skills,python,software development,cloud,power bi
koko networks limited,data analyst,['pune'],3,6,computer science,data analysis,consulting,automation tools,infrastructure,data analyst,business intelligence,consumer goods
s2 infotech international limited,"data analyst (alteryx, tableau/ power bi) (work from home)","['bangalore', 'delhi', 'pune']",4,8,alteryx,data analysis,data warehousing,it skills,python,tableau,power bi,work from home
6sense,revenue operations data analyst,['pune'],1,3,it skills,machine learning,big data,salesforce,microsoft excel,sales,marketing operations,data quality
ilink systems pvt ltd,immediate opening for azure data engineer - chennai & pune,"['chennai', 'pune']",4,9,it skills,python,software development,testing,cloud,microsoft azure,azure data factory,data engineer
nathan ark software pvt. ltd.,senior cloud data engineer,['pune'],4,9,computer science,tableau,data science,cloud,data structures,data processing,windows,ssis
exabeam,sr . software engineer - data lake ( back end ),['pune'],5,10,it skills,java,object oriented design,linux,security management,data analysis,machine learning,data processing
arraygen technologies pvt ltd,proteomics bioinformatics data analyst,['pune'],2,5,proteomics,life sciences,data quality,representative,data analyst,bioinformatics,computational biology,
hexonica,data analyst,['pune'],3,5,it skills,testing,javascript,computer science,sql,data analysis,machine learning,bfsi
alpha analytics services pvt ltd,data analyst (etl tools),['pune'],2,4,machine learning,consulting,data analyst,scheduling,informatica,stored procedures,unit testing,pentaho
diverse lynx,data analyst - mis report,['pune'],8,10,mis reporting,accounting,data analyst,,,,,
zelite solutions pvt. ltd.,web data research analyst joining - zelite solutions,['pune'],2,5,automation,hoovers,internet research,data collection,data analysis,market research,data processing,ms office
myvirtualdesks,data analyst,['pune'],3,6,administration,lead generation,research lead,transcription,social media,internet research,data analyst,crm
hexanika,data analyst,['pune'],2,5,it skills,testing,computer science,sql,data analysis,machine learning,bfsi,relationship
aligned automation,data analyst - etl/data mining,['pune'],6,9,it skills,quality assurance,computer science,data cleansing,quality assurance analyst,report generation,metadata,data analyst
givingforce limited,data analyst,['pune'],5,10,computer science,data cleansing,health insurance,payroll,process improvement,mysql,agile,data integrity
teamware solutions,"big data developer, java developer",['pune'],3,7,procurement,pdf,data management,contract management,rfx,e-sourcing,subject matter expert,manager quality control
roverpath ites pvt ltd,data research analyst,['pune'],1,4,typing speed,data analysis,research,,,,,
agreeya,data analyst,['pune'],2,6,it skills,testing,cloud,salesforce,data analysis,technical operations,gcp,customer retention
natwest group,data science lead,['bangalore'],7,10,text mining,deep learning,nlp,,,,,
execboardinasia,data science manager,['bangalore'],11,15,product management,operations research,statistical modeling,data science,machine learning,customer relationship,marketing management,data mining
natwest group,data science lead,['bangalore'],3,6,data analysis,git,django,data analysis,machine learning,data structures,data processing,business strategy
catalyst,backend engineer - data warehousing/ python/ etl,['bangalore'],2,5,sql,rest api,spark,hadoop,google data studio,mongodb,nosql,impala
catalyst,big data engineer/manager - hadoop/java/python,['bangalore'],6,11,java,storm,cloudera,hadoop,mapreduce,hdfs,impala,hbase
ralph lauren,"lead data engineer, analytics",['bangalore'],8,13,microstrategy,automation,mis,agile,business intelligence,open source,information technology,virtualization
decision culture,data engineer with data science expertise,['bangalore'],7,12,airflow,spark,python,data science,pyspark,data engineering,gcp,artificial intelligence
multi recruit,data engineer,['bangalore'],9,14,wireless,c++,automation,coding,project management,lan,data structures,data analysis
ais technolabs pvt ltd,data researcher,['ahmedabad'],0,1,pop,data research,social networking,data collection,research,ms office,data mining,monitoring
chandigarh recruiters,data entry,['chandigarh'],1,5,administration,front desk,telephone screening,travel arrangements,front office,computer operating,data entry,
chandigarh recruiters,data entry operator,['chandigarh'],1,5,administration,front desk,telephone screening,travel arrangements,front office,computer operating,data entry operator,
triumph sportswear design studio pvt ltd,data entry,['ahmedabad'],1,6,design studio,ms office,data entry,,,,,
raj borax ltd,data entry operator - sap b1,['mumbai'],2,7,pdf,sap b1,legal,data entry operator,,,,
revenuemantra digital media,web and data engineer,['hyderabad'],1,5,cloud computing,web application development,web technologies,machine learning,programming,sdk,python,
apropos technologies,data editor,['chennai'],1,5,help desk,customer service,data analysis,customer relationship,access controls,telephony support,asset management,vendor management
ak systems (india) pvt. ltd.,web and data engineer,['hyderabad'],1,5,cloud computing,web application development,web technologies,machine learning,programming,sdk,python,
asi-apex sourcing,data analyst,['new delhi'],1,5,data collection,microsoft excel,data analyst,,,,,
rudder analytics,senior data engineer,['pune'],3,5,data engineer,,,,,,,
rudder analytics,data engineer,['pune'],1,3,data engineer,,,,,,,
accord life spec pvt. ltd.,executive /sr executive - r&d (formulation development - (solid orals),"['chennai', 'oragadam']",3,8,osd,tdp,infringement analysis,product development,regulatory audits,formulation development,regulatory requirements,finished products
gracenote,"manager, big data platform",['mumbai'],3,8,core java,sql,jquery,rdbms,mysql,javascript,agile,data structures
ibm india pvt. limited,application architect data platforms,['bangalore'],5,8,pyspark,java,hive,cloudera,hadoop,scala,kafka,big data
dcodeai private limited,artificial intelligence product designer - deep learning,['noida'],0,4,communication skills,it skills,data science,artificial intelligence,product management,nlp,product design,data science
srm360 consulting private limited,data engineer - java/j2ee/big data,['hyderabad'],4,8,jenkins,continuous deployment,bitbucket,java,devops,j2ee,bigdata,maven
augmatrixgo,big data architect - hadoop/kafka,"['gurgaon', 'pune', 'hyderabad']",10,15,hadoop,spark,bigdata,data,etl,sql,sap,snowflake schema
augmatrixgo,big data lead engineer - python/spark,['pan india'],6,10,aws data pipeline,auto scaling,emr,scrum,communication skills,agile,athena,hive
carbynetech india,data modeler - etl/sql server,['hyderabad'],5,8,nosql,rdbms,it disaster recovery,machine learning,sql,etl,database tuning,data integration
muoro,mean stack developer - data structure/algorithm,['pan india'],3,6,it skills,node.js,jenkins,aws,angularjs,mean,rest api,design patterns
ais technolabs pvt ltd,data researcher,['ahmedabad'],0,1,pop,data research,social networking,data collection,research,ms office,data mining,monitoring
chandigarh recruiters,data entry,['chandigarh'],1,5,administration,front desk,telephone screening,travel arrangements,front office,computer operating,data entry,
chandigarh recruiters,data entry operator,['chandigarh'],1,5,administration,front desk,telephone screening,travel arrangements,front office,computer operating,data entry operator,
triumph sportswear design studio pvt ltd,data entry,['ahmedabad'],1,6,design studio,ms office,data entry,,,,,
raj borax ltd,data entry operator - sap b1,['mumbai'],2,7,pdf,sap b1,legal,data entry operator,,,,
revenuemantra digital media,web and data engineer,['hyderabad'],1,5,cloud computing,web application development,web technologies,machine learning,programming,sdk,python,
apropos technologies,data editor,['chennai'],1,5,help desk,customer service,data analysis,customer relationship,access controls,telephony support,asset management,vendor management
ak systems (india) pvt. ltd.,web and data engineer,['hyderabad'],1,5,cloud computing,web application development,web technologies,machine learning,programming,sdk,python,
asi-apex sourcing,data analyst,['new delhi'],1,5,data collection,microsoft excel,data analyst,,,,,
rudder analytics,senior data engineer,['pune'],3,5,data engineer,,,,,,,
rudder analytics,data engineer,['pune'],1,3,data engineer,,,,,,,
accord life spec pvt. ltd.,executive /sr executive - r&d (formulation development - (solid orals),"['chennai', 'oragadam']",3,8,osd,tdp,infringement analysis,product development,regulatory audits,formulation development,regulatory requirements,finished products
gracenote,"manager, big data platform",['mumbai'],3,8,core java,sql,jquery,rdbms,mysql,javascript,agile,data structures
ibm india pvt. limited,application architect data platforms,['bangalore'],5,8,pyspark,java,hive,cloudera,hadoop,scala,kafka,big data
dcodeai private limited,artificial intelligence product designer - deep learning,['noida'],0,4,communication skills,it skills,data science,artificial intelligence,product management,nlp,product design,data science
srm360 consulting private limited,data engineer - java/j2ee/big data,['hyderabad'],4,8,jenkins,continuous deployment,bitbucket,java,devops,j2ee,bigdata,maven
augmatrixgo,big data architect - hadoop/kafka,"['gurgaon', 'pune', 'hyderabad']",10,15,hadoop,spark,bigdata,data,etl,sql,sap,snowflake schema
augmatrixgo,big data lead engineer - python/spark,['pan india'],6,10,aws data pipeline,auto scaling,emr,scrum,communication skills,agile,athena,hive
carbynetech india,data modeler - etl/sql server,['hyderabad'],5,8,nosql,rdbms,it disaster recovery,machine learning,sql,etl,database tuning,data integration
muoro,mean stack developer - data structure/algorithm,['pan india'],3,6,it skills,node.js,jenkins,aws,angularjs,mean,rest api,design patterns
ralph lauren,data engineer,['bangalore'],4,9,microstrategy,automation,agile,data structures,apache,open source,information technology,data analysis
csg system international(india) pvt ltd,lead data engineer,['bangalore'],6,11,rabbitmq,hive,bigdata,kinesis,eventhub,kafka,flume,spark
volterra,data visualization engineer,['bangalore'],5,7,graphics,front end,networking,svg,webgl,machine learning,javascript,html
ralph lauren,data engineer - dvc,['bangalore'],4,9,microstrategy,automation,agile,data structures,apache,open source,information technology,data analysis
fortunefootprints.com,senior data engineer,['bangalore'],8,13,data engineer,,,,,,,
accenture solutions pvt ltd,data science application lead,['bangalore'],6,8,azure ml,tensorflow,plotly,seaborn,cloudera,data analysis,communication skills,keras
accenture solutions pvt ltd,dataiku data science studio (dss) application developer,['bangalore'],6,8,it skills,python,data science,machine learning,business process,spark,consulting,machine learning
accenture solutions pvt ltd,team lead/consultant-data science,['bangalore'],7,11,business administration,publishing,architecture,data science,business economics,consulting,machine learning,machine learning
accenture solutions pvt ltd,team lead/consultant-data science,['bangalore'],7,11,it skills,data science,machine learning,artificial intelligence,publishing,process orientation,architecture,consulting
accenture solutions pvt ltd,team lead/consultant-data science,['bangalore'],7,11,it skills,data science,machine learning,artificial intelligence,big data,business administration,automation,publishing
analytics vidhya educon pvt. ltd,data science beginners,['bangalore'],12,15,machine learning,pmp,data science,bloomberg,machine learning,data analysis,risk management,data analysis
augmatrixgo,marketing analytics with data science lead,"['pune', 'hyderabad']",5,10,process automation,marketing analytics,web analytics,data science,data analysis,digital marketing,adobe,teradata
execboardinasia,director data science,['bangalore'],11,15,data analysis,automation,prototype,data science,data analysis,deployment,data quality,data analysis
prodapt solutions private limited,ml lead / data science - prodapt,['bangalore'],4,9,data science,pytorch,r,nlp,time series analysis,neural networks,keras,text mining
prodapt solutions private limited,ml lead / data science - prodapt,['bangalore'],4,9,data science,pytorch,r,nlp,time series analysis,neural networks,keras,text mining
act fibernet,expert - data science,['bangalore'],3,6,data science,artificial intelligence,machine learning,,,,,
catalyst,lead data engineer,['bangalore'],6,10,data,hbase,kafka,data structures,nosql,java,solr,sql
healthifyme,data engineer,['bangalore'],2,5,data management,machine learning,artificial intelligence,data structures,data processing,microsoft,data mining,data analysis
eli lilly and company,python data engineer,['bangalore'],2,7,computer science,operations research,mis,data analysis,machine learning,healthcare,machine learning,econometrics
siemens limited,lead research engineer ai & industrial data analytics,['bangalore'],3,7,thermodynamics,data management,pumps,formulation,pharma,heat exchangers,data mining,matlab
natwest group,data engineer,['bangalore'],2,5,computer science,data quality,mongodb,informatica,business strategy,apache,data analysis,sql
xebia it architects india pvt ltd,big data engineer,['bangalore'],4,6,it skills,java,cloud,big data,unix,core java,linux,consulting
meredith corporation,data solutions engineer,['bangalore'],4,9,automation,data analysis,data management,project management,http,business intelligence,jira,data analysis
time analytic & shared services private limited,data solutions engineer,['bangalore'],2,5,automation,data analysis,data management,project management,http,business intelligence,jira,data analysis
eli lilly and company,r data enginner,['bangalore'],2,7,computer science,operations research,mis,data analysis,machine learning,healthcare,machine learning,training and development
near pte. ltd.,data engineer,['bangalore'],3,6,core java,nosql,cassandra,data analysis,data structures,data processing,html,product design
ralph lauren,lead data engineer,['bangalore'],8,13,microstrategy,automation,mis,agile,data structures,apache,open source,data analysis
autodesk india pvt ltd,principal engineer data,['bangalore'],6,10,it skills,python,testing,cloud,jenkins,aws,computer science,automation
concerto healthai,data engineer,['bangalore'],6,11,computer science,metadata,nosql,data structures,healthcare,operations,data analysis,private equity
ganit business solutions,big data engineer,['bengaluru'],1,6,data services,java,vertica,schema,design development,data processing,hadoop,aws
zeta inc.,principal engineer - data engineering,['bengaluru'],5,9,object oriented design,backend,rdbms,database design,bfsi,soc,iso 27001,network security
payu india,data engineer,['bangalore'],1,4,computer science,prototype,machine learning,workflow management,machine learning,informatica,open source,financial services
xzed skills private limited,big data engineer,['bangalore'],5,9,design patterns,hadoop,hdfs,informatica,hbase,hive,nosql,mysql
startus gmbh,big data engineer (python) - remote position,['bangalore'],3,5,data science,software development,data engineering,docker,postgresql,kafka,big data,information retrieval
eli lilly services india private limited,edp data engineer,['bangalore'],5,10,automation,data management,access management,healthcare,scheduling,apache,business solutions,data analysis
smedc services private limited,ml engineer_(python & azure data factory),['bangalore'],3,5,it skills,java,python,machine learning,big data,microsoft azure,azure data factory,
eli lilly services india private limited,python data engineer,['bengaluru'],2,7,computer science,operations research,mis,data analysis,machine learning,healthcare,machine learning,econometrics
techknowledgey pte ltd,senior data engineer,['bangalore'],5,10,it skills,python,data science,cloud,devops,big data,aws,microsoft azure
execboardinasia,manager data science analytics,['bangalore'],5,10,demand planning,data science,kpi,mentor,data analysis,logistics,,
brigosha technologies,data science & cloud analytics,['bangalore'],3,6,text mining,git,neural networks,business analysis,network analysis,machine learning,natural language processing,data mining
msg global solutions,big data engineering lead,['bangalore'],2,8,sap,linux,project management,consulting,workflow,troubleshooting,open source,unix shell scripting
brigosha technologies,data science & cloud analytics,['bangalore'],3,6,text mining,git,neural networks,business analysis,network analysis,machine learning,natural language processing,data mining
quberoot analytics,data science manager / project manager,['bangalore'],8,13,computer science,data analysis,business concepts,process optimization,bfsi,mysql,healthcare,data mining
suyati technologies pvt ltd,data science practice manager,"['kochi', 'bangalore']",12,17,it skills,data science,machine learning,big data,technical management,big data analytics,manager technology,php
posterity consulting,manager / ad - data analytics,['bangalore'],12,15,cvs,sap,consulting,php,html,associate director,oracle,troubleshooting
admybrand,data science,['bangalore'],1,5,printing,data science,machine learning,data collection,radio,data mining,advertising,data analysis
accenture solutions pvt ltd,data science application developer,['bangalore'],6,8,it skills,data science,microsoft azure,business process,data analysis,machine learning,paas,consulting
accenture solutions pvt ltd,team lead/consultant-data science,['bangalore'],7,11,data analysis,publishing,architecture,data science,management,artificial intelligence,consulting,individual contributor
suyati technologies private limited,data science practice lead / head,"['kochi', 'bangalore']",10,15,it skills,data science,machine learning,big data,,,,
axa business services pvt ltd,associate data science consultant,['bangalore'],3,5,text mining,pdf,data science,network analysis,machine learning,mining operations,data mining,operations
jupiter,software development engineer - platform data science,['bangalore'],2,5,computer science,object oriented design,data science,machine learning,integration testing,cms,data structures,html
burgeon it services pvt ltd,data science consultant,['bangalore'],5,8,it skills,python,data science,machine learning,microsoft azure,it skills,sales,
optidesk solutions private limited,mssql data science & r analytics programmer,['bangalore'],2,6,sap,ssrs,machine learning,json,windows,stored procedures,oracle,ssis
aryng,data engineer - cloud platform,['pan india'],5,9,bigquery,nosql,tableau,kafka,spark,python,microsoft azure,mysql
larsen & toubro infotech limited,data solutions architect: bi & analytics,['bangalore'],2,4,engineering management,data science,data analysis,asset management,data analysis,business intelligence,big data,financial services
the silicon partners,data science,"['pune', 'hyderabad']",2,7,computer science,data analysis,sas,staffing,rdbms,data analysis,machine learning,data analysis
d cube analytics,data science lead,['bangalore'],10,12,computer science,deep learning,c++,data science,neural networks,data analysis,machine learning,data analysis
bold technology systems private limited,sse- data science,['noida'],5,9,it skills,python,data science,machine learning,cloud,jenkins,aws,pattern recognition
data trained education,deep learning trainer(part time)-datatrained education,"['noida', 'bangalore']",3,8,c++,opencv,image processing,artificial intelligence,neural networks,caffe,computer vision,machine learning
uniphore,senior speech scientist,['bangalore'],7,10,deep learning,automation,publishing,machine learning,intellectual property,signal processing,information retrieval,natural language processing
altimetrik india pvt. ltd,data engineer,['bangalore'],2,5,postgres,elt,spark,pandas,data processing,python,data analysis,flink
logic planet it services,hiring || big data engineer || with top client,"['chennai', 'bangalore']",5,10,python,spark,kafka,sql,hadoop,it skills,cloud,teradata
teamware solutions ( a division of quantum leap co nsulting private ltd).,big data developer / architect,['bangalore'],5,10,scala,spark,grafana,big data,shell script,github,hive,jenkins
zyoin web pvt.ltd,data engineer,['bangalore'],5,9,data pipeline,containors,data engineerning,lambda,python,sql,it skills,aws
zine mind,data engineer,['bangalore'],4,9,computer science,scala,programming,data processing,big data,unix shell scripting,monitoring,sql
nokia,azure data engineer,['bangalore'],3,6,product management,version control,git,machine learning,powershell,schema,remote support,data analysis
quicken software development pvt ltd,lead data engineer,['bangalore'],5,8,machine learning,mysql,agile,healthcare,windows,dbms,middleware,sql
encora,big data engineer with spark and scala,['bangalore'],5,10,scala,big data,spark,,,,,
career infosystem,senior big data developer - hadoop/sql,['bangalore'],3,5,pig,object oriented analysis,cloudera,redshift,agile methodology,solr,java,python
catalyst,business data analyst - data structure & quality,['bangalore'],2,5,data analysis,data analysis,root cause analysis,data structures,data quality,analytic models,business analysis,data analysis
waterleaf consultants pvt. ltd.,data architect/ sr. engineer data,['bangalore'],10,20,streaming,java,cassandra,go,spark streaming,sql,data architect,nosql
career makers,machine learning scientist,['bangalore'],5,10,c++,machine learning,machine learning,perl,machine learning,presentation skills,data mining,matlab
draup,big data engineer,['bangalore'],3,5,it skills,python,software development,machine learning,big data,mining,pdf,spark
career infosystem,senior big data developer - hbase / solr,['bangalore'],5,10,mapreduce,kafka,solr,hbase,spark,hive,impala,cloudera
gojek tech,data engineer,['bangalore'],1,3,rdbms,cloud,agile,data governance,database,data processing,mongodb,test driven development
go-jek india,data engineer,['bangalore'],3,8,it skills,java,cloud,rdbms,agile,data governance,database,data processing
pienza,java/scala streaming data engineer,['bangalore'],3,6,health insurance,data analysis,production support,data analysis,machine learning,scala,data processing,adobe
acl digital,etl data engineer,['bangalore'],5,10,informatica,teradata,python,oracle,etl,spark,scala,it skills
ansr global corporation private limited,lead engineer - data engineering (big data) | target,['bangalore'],7,12,data science,team management,microsoft azure,data pipeline,scala,cloud,big data,azure data lake
arcadis consulting india pvt. ltd.,azure data engineer,['bangalore'],4,9,sas,power bi,ssrs,msbi,sql,ssis,,
ansr global corporation private limited,lead engineer - data engineering (big data) | target,['bangalore'],7,12,data science,team management,microsoft azure,data pipeline,scala,cloud,big data,azure data lake
arcadis consulting india pvt. ltd.,azure data engineer,['bangalore'],4,9,sas,power bi,ssrs,msbi,sql,ssis,,
optimum infosystem pvt. ltd.,sr. java/big data developer,['bangalore'],6,10,jms,restful webservices,jenkins,kubernetes,spring integration,communication skills,agile,devops
rigved technologies private limited,immediate opening for data engineer(aws glue + lamda function)wfh,['bangalore'],4,8,it skills,aws,work from home,lamda function,amazon kinesis firehouse,amazon emr,amazon kinesis,aws glue
rigved technologies private limited,immediate opening for data engineer(aws glue + lamda function)wfh,['bangalore'],4,8,it skills,aws,lamda function,amazon kinesis firehouse,amazon emr,amazon kinesis,aws glue,
gcc services india private limited,data engineer - iii,['bangalore'],3,8,hive,sql,sqoop,hadoop,snowflake,big data,hdfs,spark
gcc services india private limited,data engineer,['bangalore'],4,9,hive,sql,hadoop,snowflake,big data,hdfs,talend,etl
jobs territory,data analyst/scientist_mumbai/pune/bangalore/chennai,"['chennai', 'bangalore']",4,7,mining,correlation,data analysis,data mining,data analysis,,,
c1x inc.,data engineer,"['chennai', 'bangalore']",2,5,process,development,ux,code,service,data processing,developing,html
cliqhr recruitment services,senior data engineer - java/python/sql,['bangalore'],7,12,java,bigquery,linux,terraform,tdd,data management,ansible,python
hexaconcepts,senior big data developer - hadoop/spark/scala,['bangalore'],6,8,t-sql,hive,scala,hadoop,big data,hdfs,spark,sql
execboardinasia,data engineer product,['bangalore'],5,10,cloud,data governance,data processing,deployment,data warehousing,testing,microservices,
nabler web solutions pvt. ltd,data engineer,['bangalore'],4,6,data engineering,spark,scala,hadoop,big data,etl,,
aryaka networks india pvt ltd,data engineer,['bangalore'],3,8,hive,algorithms,spark,nosql,design patterns,cassandra,hadoop,big data
catalyst,data visualization engineer - bi/dw,['bangalore'],2,6,power bi,sql,data analysis,tableau,communication skills,bi,python,d3js
exponential,"staff engineer, data engineering",['bangalore'],3,8,computer science,artificial intelligence,machine learning,scala,data structures,system design,natural language processing,data mining
ness technologies,big data support engineer,['bangalore'],5,10,computer science,hive,software design,architecture,machine learning,shell scripting,design development,big data
endless gain pvt limited,data engineer,['bangalore'],2,6,big data,api production,etl,it skills,python,testing,data science,cloud
executive selection india,senior data engineer - elasticsearch/mongodb,['bangalore'],3,8,rabbitmq,elasticsearch,data pipeline,rdbms,data infrastructure,data management,mysql,hadoop
globalfoundries engineering private limited,principle engineer (data warehouse / integration),['bangalore'],5,8,hive,data engineering,snowflake,big data,spark,data warehousing,machine learning,etl
accenture solutions pvt ltd,talend big data application developer,['bangalore'],4,6,computer science,business process,data analysis,cloudera,spark,consulting,deployment,big data
accenture solutions pvt ltd,talend big data application developer,['bangalore'],8,10,computer science,business process,data analysis,cloudera,spark,consulting,deployment,big data
siemens limited,data engineer,['bangalore'],3,5,orchestration,sas,database design,schema,data governance,data quality,informatica,teradata
kinara financial private limited,data mart and bi engineer,['bangalore'],5,7,computer science,bi lead,pdf,machine learning,data analysis,software development life cycle,troubleshooting,data analysis
humancontext solutions private limited,senior data engineer,['bangalore'],5,10,pyspark,r,database administration,data engineering,parsing,scripting languages,data collection,etl
eli lilly services india private limited,r data enginner,['bengaluru'],2,7,computer science,operations research,mis,data analysis,machine learning,healthcare,machine learning,training and development
docsapp,data engineer,['bangalore'],1,3,automation,data migration,data management,consulting,mysql,healthcare,wellness,japanese
career makers,machine learning scientist,"['bengaluru', 'bangalore']",5,10,it skills,java,python,software development,machine learning,matlab,c,data mining
squareroot consulting pvt ltd.,python developer - data analytics platform (senior developer/lead),['bangalore'],6,11,java,scala,datastructure,saas,perl,bash,kotlin,r
symphony talent,associate data engineer,['bangalore'],3,5,product management,unix,linux,talent acquisition,conflict management,data analysis,machine learning,open source
smashfly,associate data engineer,['bangalore'],3,5,product management,unix,linux,talent acquisition,conflict management,data analysis,machine learning,open source
srivango technologies,ie - aws data engineer,['bangalore'],3,8,amazon redshift,aws redshift,spark,glue,hadoop,it skills,aws,pyspark
databricks,customer data engineer- data/spark & ai,['bangalore'],1,5,product management,computer science,san,product engineering,coding,customer relationship,technical support,data analysis
quotient four technologies pvt. ltd.,data engineer,['bangalore'],4,9,product management,digital media,cvs,data quality,big data,data analysis,brand building,sql
class one exchange.,data engineer,"['chennai', 'bangalore']",3,8,process,development,ux,code,service,data processing,developing,html
